text,label,önem derecesi
Altındağ Belediyesi Sokak Köpekleri Toplatılsın Altındağ Beşikkaya Mahallesi'nde gruplar halinde köpekler dolaşıyor. Geçen arabalara bile saldırıyorlar. Evden çıkamıyoruz korkudan. Lütfen bu tehlike arz eden hayvanların toplatılmasını istiyoruz. Sürekli saldırı korkusu yaşıyoruz. Psikolojimiz bozuldu ama canımızdan da olmayalım.,Sokak Hayvanları Tehditi,3
"Altındağ Belediyesi Zabıta Pazar Yeri Beşikkaya Şikayeti Altındağ Beşikkaya semt pazarına çanta satmak için sabah 8'de gittim. Zabıta yokmuş, gelene kadar bekledim. Gelince durumu anlattım, pazarın herhangi bir yerine açmamı söyledi. Ben de açtım, bayağı uğraştım açarken. Sonra 1 saat sonra geldiler, 'buradan kaldır' dediler. Yanımdaki satıcıya da 'kaldır' dediler. Ben de 'tamam' dedim, sonra diğer zabıta 'o benim köylüm, kalsın' dedi. Bana kaldırttı. Ben de vatandaşım, o da vatandaş. Bu çifte standart değil mi? Bu nasıl vicdan? Gereğinin yapılmasını istiyorum. Her tarafa şikayet de bulunacağım; CİMER'e, belediyeye, Cumhurbaşkanlığı'na.",Belediye Hizmetleri,2
"Altındağ Belediyesi Seyyar Satıcı Sorunu Altındağ baraj Mahallesi, k** TOKİ blokları 1*. Etap ** blok önünde akşam 17:30'da seyyar bakkal geliyor. 06 *** 44 plakalı araca defalarca şikayet etmeme rağmen zabıta arkadaşlar gönderiyor, o geri geliyor. Bu memlekette vergi, kira, elektrik, su, eleman maaşı ödemeye gerek yok; seyyar çalışın. Nasıl olsa bir işlem yapan yok, iki ağlayınca tamam gönderiyorlar. Altındağ Belediyesi zabıta arkadaşlara bizzat duyurulur. Benim devlet babaya ödediğim vergilerden maaş alıp seyyarları koruyorlar. İlyas ö**.",Belediye Hizmetleri,2
Altındağ Belediyesi Başıboş Sokak Köpekleri Çevrede başıboş köpeklerden dolayı rahat hareket edemiyoruz. Bu hayvanların acilen toplatılmasını rica ediyorum. Her sokakta her caddede çeteleşmiş köpek sürüleri var acilen bu hayvanların toplatılmasını istiyorum. Bu hayvanları bir yerden alıp başka bir yere salınması doğru değil.,Sokak Hayvanları Tehditi,3
"Altındağ Belediyesi Ankara Siteler Duman İs Sorunu Ankara Siteler'de duman ve is sorunu sürekli ateş yakımından kaynaklanıyor. Her sabah çektiğimiz duman sorunu nedeniyle çocuklarımızı okula götürürken gözlerimiz yanıyor. En kısa sürede yasaklanması gerekiyor. Oğlum nefes alamıyor, artık yeter. Kaç yıldır var, yazmadığım yer kalmadı ama bir çözüm yok maalesef.",Çevre ve Temizlik,3
Altındağ Belediyesi Sokaklarda Artan Tehlike: Sürüler Halinde Köpekler Altındağ Gü--- Mahallesi C** ***  Arseven Caddesi'nde 10'lu sürüler halinde havlayarak gezen köpekler mevcut. İlgililer bu duruma bir çözüm bulmalı. Sokak köpeklerinden dolayı dışarı adım atamaz olduk. Her geçen gün sayıları artıyor. Yetkililer acil olarak bir adım atmalı.,Sokak Hayvanları Tehditi,3
"Altındağ Belediyesi Altındağ Başıboş Köpek Sorunu! Doğantepe mah. C**** M**** kültür merkezi arkasında 10lu köpek sürüsü var sürekli oradalar, burada küçük çocuklar var kardeşim de küçük, saldırabilirler lütfen toplayın! İnsanların içindeki hayvan sevgisini öldürmeyin lütfen. Kardeşimin başına bir şey gelirse sorumlusu ben değilim!",Sokak Hayvanları Tehditi,3
"Altındağ Belediyesi Başıboş Köpek Tehlikesi Ve Güvenlik Sorunu Mahalledeki başıboş köpeklerden bıktım. Tamam, onlar da canlı, ben de biliyorum; köpek besledim ama bu fazla. Saldırıyorlar, okul ve işim yüzünden karanlık saatlerde gidip geliyorum. Gerçi bununla da pek alakası yok, köpekler her zaman saldırıyorlar. Kaçmak veya yolumu uzatmak zorunda kalıyorum. Altındağ Örnek Mahallesi.",Sokak Hayvanları Tehditi,3
"Altındağ Belediyesi Mahallesi Muhtarı Görevini Yapmıyor Ankara Altındağ Feridun Çelik Mahallesi Muhtarlığı görevini tam yapmıyor. Mahallesini sokak sokak, cadde cadde dolaşması gerekirken, sadece başını sallayıp duruyor. Maaş almasına rağmen başka hiçbir iş yapmıyor. Şehit Yavuz Bayram Parkı'nın çevre duvarları ve Profesör Doktor Ahmet Haluk Meslek Lisesi'nin duvarları yazılarla dolu. Ayrıca, bu meslek lisesinin önünde akşamları alkol tüketiliyor ve muhtarlık bu durumlarla hiç ilgilenmiyor. Muhtarın, belediyeden ve emniyetten bazı konularda yardım istemesi gerekiyor. Ne muhtar ne de Belediye Başkanı burada gereken işleri yapıyor.",Belediye Hizmetleri,1
"Altındağ Belediyesi Köpek Saldırısı Oturduğumuz mahallede beni köpeklerin kovalamasından sonra erkek kardeşime köpek saldırdı ve çok sayıda bacağından diş yarası aldı, Ankara'da artan köpek sorununa artık bir çözüm istiyoruz. Kardeşimin aldığı yaralar sonrası hastanede tedavisi devam etmektedir.",Sokak Hayvanları Tehditi,3
